hand,prob
AA,0.048863
AKo,0.263679
AQs,0.138692
AQo,0.01678
AJs,0.000697384
ATo,0.00246965
A9s,0.281672
AJo,0.105217
A9o,0.290707
A8o,0.774119
A7o,0.330453
A4s,0.181946
A4o,0.426561
A3s,0.251881
A3o,0.940019
A2o,0.983692
KQs,0.0152105
K9s,0.357453
K8s,0.0245988
K8o,0.730246
K7o,0.95781
K6s,0.0586479
K6o,0.924855
K5o,0.863576
KJs,0.00600077
K2o,0.0415342
QJs,0.0585136
A6s,0.318542
QQ,0.0533051
QTs,0.294144
Q9o,0.999901
Q7s,0.517138
K7s,0.151207
Q6s,0.432722
Q6o,0.436257
Q5o,0.262423
Q3s,0.852363
Q7o,0.7241
Q3o,0.995262
Q2s,0.505155
Q2o,0.813183
QJo,0.231955
JJ,0.0015228
JTs,0.583178
K5s,0.504208
JTo,0.461836
J9s,0.685606
QTo,0.928908
J8o,0.956555
J5s,0.799298
J5o,0.170526
J4s,0.099658
T6o,0.123411
98o,0.66257
J3s,0.543854
J3o,0.339784
92s,0.96811
95o,0.972898
98s,0.335525
J7s,0.836234
J7o,0.54309
J2s,0.997988
A8s,0.143372
J2o,0.0463915
87o,0.952396
TT,0.729574
T9s,0.788099
88,0.268407
J9o,0.938297
T9o,0.506847
T8o,0.550066
66,0.00512254
T7s,0.0489618
K9o,0.771129
T4s,0.148691
T5s,0.9094
A7s,0.562442
A5s,0.073176
44,0.106309
T3s,0.942366
T8s,0.391507
T3o,0.654033
75o,0.884613
T5o,0.731074
A2s,0.0629635
Q8o,0.411975
T2o,0.436377
97o,0.470663
J6o,0.38366
96o,0.00502531
53s,0.475161
76s,0.648768
94o,0.972929
K3s,0.359744
T2s,0.29822
93o,0.769333
87s,0.597789
Q4s,0.919382
52s,0.917633
73s,0.991082
J8s,0.336157
A6o,0.405566
93s,0.861372
85s,0.920143
82o,0.45432
82s,0.954918
Q5s,0.689148
96s,0.154573
86o,0.989127
85o,0.421136
62o,0.289568
Q9s,0.0225135
53o,0.491007
74o,0.754099
83o,0.891495
63o,0.892666
AKs,0.0113724
Q4o,0.457718
77,0.371357
94s,0.983967
K3o,0.745192
64s,0.946626
A5o,0.471786
86s,0.415329
76o,0.837787
75s,0.529873
74s,0.984415
32o,0.0237677
43s,0.289999
73o,0.918117
K4s,0.457214
84o,0.352786
T6s,0.443331
92o,0.286047
ATs,0.0227199
72s,0.0513396
65s,0.952464
83s,0.574113
22,0.015616
KJo,0.0653441
33,0.379639
55,0.191329
52o,0.938607
K2s,0.3004
65o,0.18061
84s,0.991587
54o,0.658385
T7o,0.0265702
KK,0.724719
64o,0.984069
J6s,0.746068
KTo,0.649604
Q8s,0.274972
63s,0.000165936
54s,0.528362
43o,0.998233
KQo,0.107384
K4o,0.130128
62s,0.798013
95s,0.664882
72o,0.0240357
J4o,0.362729
97s,0.0525064
32s,0.962326
T4o,0.981532
KTs,0.0318432
42s,0.842285
42o,0.123255
99,0.202289
