hand,prob
AA,0.852008
AKo,0.78353
AQs,0.997826
AQo,0.942511
AJs,0.999989
ATo,0.999961
A9s,0.995559
AJo,0.950937
A9o,0.988678
A8o,0.746503
A7o,0.191953
A4s,0.997194
A4o,0.0633552
A3s,0.906365
A3o,0.00320008
A2o,0.550154
KQs,0.999762
K9s,0.563451
K8s,0.600888
K8o,0.325803
K7o,0.309634
K6s,0.349493
K6o,0.00117928
K5o,0.592988
KJs,0.993114
K2o,0.723021
QJs,0.891355
A6s,0.992557
QQ,0.937219
QTs,0.967763
Q9o,1.28954e-06
Q7s,0.673054
K7s,0.842852
Q6s,0.404696
Q6o,0.230207
Q5o,0.993977
Q3s,0.204832
Q7o,0.502872
Q3o,0.740366
Q2s,0.944928
Q2o,0.00334551
QJo,0.817173
JJ,0.835083
JTs,0.94576
K5s,0.362542
JTo,0.624171
J9s,0.856135
QTo,0.00110878
J8o,0.00533463
J5s,0.0396306
J5o,0.959576
J4s,0.99844
T6o,0.929
98o,0.0152663
J3s,0.0613124
J3o,0.26413
92s,0.0549314
95o,0.244561
98s,0.964432
J7s,0.570389
J7o,0.962166
J2s,0.245247
A8s,0.980753
J2o,0.446432
87o,0.000746117
TT,0.577515
T9s,0.987704
88,0.353442
J9o,0.0475298
T9o,0.226758
T8o,0.175123
66,0.890248
T7s,0.999223
K9o,0.281274
T4s,0.470183
T5s,0.0909121
A7s,0.963855
A5s,0.998561
44,0.998333
T3s,0.526091
T8s,0.71077
T3o,0.0853107
75o,0.170648
T5o,0.371862
A2s,0.37228
Q8o,0.0710345
T2o,0.0087698
97o,0.972805
J6o,0.923803
96o,0.999921
53s,0.700147
76s,0.729201
94o,0.0363716
K3s,0.125161
T2s,0.366837
93o,0.0194389
87s,0.975432
Q4s,0.078954
52s,0.0553424
73s,0.000131121
J8s,0.989806
A6o,0.57562
93s,0.00211908
85s,0.762055
82o,0.00139584
82s,0.689195
Q5s,0.661302
96s,0.953227
86o,0.806406
85o,0.993449
62o,0.000446136
Q9s,0.330751
53o,0.602743
74o,0.421581
83o,1.22389e-05
63o,0.706186
AKs,0.999823
Q4o,0.985545
77,0.0373951
94s,0.201897
K3o,0.987747
64s,0.897756
A5o,0.0920107
86s,0.973646
76o,0.0154707
75s,0.62015
74s,0.000215259
32o,0.00266882
43s,0.1667
73o,2.78147e-05
K4s,0.189221
84o,0.584927
T6s,0.74682
92o,0.0145772
ATs,0.988657
72s,0.0159321
65s,0.932804
83s,0.480446
22,0.999758
KJo,0.998978
33,0.977715
55,0.646854
52o,0.000217716
K2s,0.389419
65o,0.0572689
84s,7.69314e-05
54o,0.00550742
T7o,0.521722
KK,0.763069
64o,0.000248042
J6s,0.0248351
KTo,0.551071
Q8s,0.96097
63s,0.999997
54s,0.563732
43o,0.178391
KQo,0.891147
K4o,0.850372
62s,0.00308533
95s,0.420757
72o,0.000113048
J4o,0.956509
97s,0.924646
32s,0.000416475
T4o,0.0244379
KTs,0.999502
42s,0.0686499
42o,0.000142301
99,0.797288
