hand,fold,call,raise to: 6
AKo,0.000000,0.219993,0.780007
AQo,0.000000,0.010758,0.989242
AQs,0.000003,0.089126,0.910870
AJs,0.000000,0.000444,0.999555
ATo,0.000000,0.001582,0.998418
AJo,0.000001,0.096725,0.903274
A9o,0.000024,0.250036,0.749940
A9s,0.000005,0.182239,0.817757
A8o,0.000026,0.736755,0.263219
A7o,0.000021,0.446585,0.553393
A4o,0.000000,0.538692,0.461308
A4s,0.000010,0.116167,0.883823
A3o,0.000076,0.948971,0.050953
A3s,0.000000,0.177210,0.822790
A2o,0.000012,0.989508,0.010480
KQs,0.000000,0.009738,0.990262
K9s,0.000000,0.438490,0.561510
K8o,0.000049,0.497644,0.502307
K8s,0.000071,0.015743,0.984186
K7o,0.000206,0.896318,0.103476
K6o,0.000001,0.951754,0.048245
K6s,0.000073,0.037323,0.962604
K5o,0.000013,0.885134,0.114852
KJs,0.000008,0.003847,0.996145
K2o,0.000249,0.026600,0.973151
QJs,0.000000,0.037428,0.962572
Q9o,0.000011,0.999937,0.000053
Q7s,0.000013,0.657516,0.342471
Q6o,0.000138,0.637134,0.362728
K7s,0.000033,0.324574,0.675393
Q6s,0.000023,0.635337,0.364640
Q5o,0.000238,0.246814,0.752949
Q7o,0.000373,0.813002,0.186624
Q3o,0.000495,0.996962,0.002543
Q3s,0.000336,0.904620,0.095044
Q2o,0.000262,0.876654,0.123084
Q2s,0.000239,0.661145,0.338615
K5s,0.000114,0.680034,0.319852
JTo,0.000010,0.456818,0.543171
JTs,0.000000,0.624625,0.375375
J9s,0.000023,0.472841,0.527136
QTo,0.000001,0.954435,0.045564
J8o,0.000040,0.972385,0.027575
J5o,0.000396,0.361163,0.638441
J5s,0.000349,0.871260,0.128391
J4s,0.000107,0.063705,0.936188
J3o,0.003298,0.578366,0.418336
T6o,0.000011,0.078371,0.921618
98o,0.000029,0.770315,0.229655
J3s,0.000133,0.667725,0.332142
A8s,0.000037,0.182788,0.817176
J2o,0.000183,0.087057,0.912759
J7o,0.000021,0.365159,0.634820
95o,0.001985,0.982588,0.015427
92s,0.000138,0.979778,0.020084
98s,0.000066,0.213324,0.786610
J7s,0.000908,0.694820,0.304272
J2s,0.000016,0.998720,0.001264
T9o,0.000001,0.521778,0.478222
T9s,0.000003,0.503258,0.496739
T8o,0.000133,0.352326,0.647541
66,0.000004,0.003387,0.996608
T7s,0.000157,0.031380,0.968464
K9o,0.000003,0.850283,0.149714
T4s,0.000236,0.392343,0.607421
T8s,0.000070,0.610842,0.389088
T3o,0.000035,0.778338,0.221627
T5s,0.000075,0.941861,0.058064
A7s,0.000000,0.362932,0.637068
A5s,0.000035,0.046865,0.953101
44,0.000041,0.067810,0.932150
T3s,0.000005,0.884292,0.115704
75o,0.001210,0.900640,0.098150
T5o,0.000833,0.764589,0.234578
A2s,0.000007,0.205600,0.794393
Q8o,0.000046,0.317204,0.682750
T2o,0.000114,0.639901,0.359985
97o,0.000060,0.558603,0.441337
J6o,0.000096,0.244954,0.754949
96o,0.000031,0.003220,0.996749
53s,0.000068,0.340171,0.659761
76s,0.000001,0.776087,0.223913
94o,0.001271,0.967049,0.031679
K3s,0.000060,0.283065,0.716875
T2s,0.000021,0.337250,0.662729
93o,0.328542,0.608316,0.063142
85o,0.000217,0.269763,0.730020
86o,0.000062,0.957899,0.042039
Q5s,0.000842,0.740756,0.258403
96s,0.000120,0.205697,0.794184
A6o,0.000042,0.316354,0.683603
93s,0.002272,0.910855,0.086873
85s,0.000743,0.949058,0.050198
K4s,0.000019,0.417484,0.582498
84o,0.000153,0.307431,0.692416
TT,0.000004,0.551585,0.448410
87o,0.000031,0.969446,0.030523
84s,0.002262,0.994600,0.003139
62o,0.796100,0.185798,0.018102
Q9s,0.000000,0.014389,0.985611
53o,0.000937,0.662382,0.336681
74o,0.000759,0.843066,0.156175
83o,0.068932,0.930565,0.000503
82o,0.431877,0.510838,0.057285
82s,0.003385,0.971309,0.025306
K3o,0.000135,0.503849,0.496016
64s,0.001325,0.831279,0.167397
A5o,0.000005,0.625878,0.374117
86s,0.000024,0.270143,0.729833
76o,0.000069,0.844764,0.155166
94s,0.000994,0.781121,0.217885
75s,0.000277,0.492289,0.507434
74s,0.001098,0.989986,0.008916
32o,0.880984,0.015158,0.103858
Q4s,0.000069,0.948668,0.051263
J8s,0.000005,0.382427,0.617568
52s,0.000067,0.894863,0.105070
73s,0.000325,0.994334,0.005341
T6s,0.000001,0.544566,0.455433
92o,0.347090,0.313955,0.338955
73o,0.051357,0.947511,0.001132
43s,0.000005,0.490662,0.509333
ATs,0.000002,0.014540,0.985458
72s,0.006062,0.342537,0.651400
65s,0.000150,0.925486,0.074364
KK,0.000000,0.732261,0.267739
64o,0.000036,0.989856,0.010108
54o,0.000705,0.774596,0.224698
J6s,0.000000,0.764885,0.235115
KTo,0.000000,0.687413,0.312586
Q8s,0.000100,0.516429,0.483470
63s,0.000004,0.000107,0.999890
54s,0.000042,0.689136,0.310822
K2s,0.000063,0.193201,0.806736
65o,0.000171,0.115312,0.884517
52o,0.030188,0.960909,0.008902
42o,0.857525,0.136661,0.005814
T4o,0.011771,0.988227,0.000001
KTs,0.000000,0.020468,0.979532
42s,0.021437,0.892195,0.086367
95s,0.000136,0.704439,0.295425
72o,0.979978,0.015400,0.004622
J4o,0.002190,0.569752,0.428059
97s,0.000049,0.033465,0.966486
32s,0.007074,0.975854,0.017073
83s,0.006549,0.418059,0.575392
AA,0.000000,0.031156,0.968844
99,0.000000,0.177224,0.822776
KJo,0.000000,0.041921,0.958079
33,0.000037,0.330779,0.669184
22,0.000024,0.009995,0.989981
J9o,0.000014,0.899554,0.100432
88,0.000004,0.230444,0.769552
KQo,0.000000,0.125532,0.874468
K4o,0.000026,0.266816,0.733158
62s,0.002090,0.871170,0.126740
43o,0.001110,0.998870,0.000019
55,0.000002,0.227744,0.772255
87s,0.000004,0.442321,0.557675
QJo,0.000004,0.156503,0.843493
JJ,0.000000,0.000972,0.999028
AKs,0.000002,0.007317,0.992682
Q4o,0.001128,0.363558,0.635314
77,0.000057,0.517890,0.482053
63o,0.025875,0.930971,0.043154
T7o,0.000146,0.017067,0.982788
A6s,0.000008,0.204687,0.795305
QTs,0.000037,0.227901,0.772062
QQ,0.000000,0.155232,0.844768
