hand,fold,call,raise to: 6
AKo,0.000000,0.442625,0.557375
AQo,0.832700,0.073534,0.093767
AQs,0.000000,0.000000,1.000000
AJs,0.000000,0.333333,0.666667
ATo,0.647470,0.285864,0.066667
AJo,0.000000,1.000000,0.000000
A9o,0.037037,0.721689,0.241274
A9s,0.510137,0.489863,0.000000
A8o,0.095238,0.467201,0.437560
A7o,0.377060,0.462322,0.160617
A4o,0.241842,0.427337,0.330822
A4s,0.000000,0.981132,0.018868
A3o,0.773508,0.101355,0.125136
A3s,0.083333,0.833333,0.083333
A2o,0.053515,0.946485,0.000000
KQs,0.267439,0.322169,0.410393
K9s,0.333333,0.333333,0.333333
K8o,0.000000,0.013300,0.986700
K8s,0.277951,0.722049,0.000000
K7o,0.059262,0.009542,0.931197
K6o,0.131645,0.791432,0.076923
K6s,0.000000,0.895690,0.104310
K5o,0.618859,0.138475,0.242666
KJs,0.166667,0.485629,0.347704
K2o,0.206112,0.146318,0.647570
QJs,0.000000,1.000000,0.000000
Q9o,0.330235,0.572222,0.097543
Q7s,0.161397,0.648992,0.189611
Q6o,1.000000,0.000000,0.000000
K7s,0.000000,1.000000,0.000000
Q6s,0.111111,0.611111,0.277778
Q5o,0.651196,0.205947,0.142857
Q7o,0.366079,0.279549,0.354371
Q3o,0.222049,0.153667,0.624284
Q3s,0.328827,0.671173,0.000000
Q2o,0.345218,0.155497,0.499284
Q2s,0.250000,0.500000,0.250000
K5s,0.166667,0.666667,0.166667
JTo,0.385274,0.303815,0.310911
JTs,0.293333,0.456667,0.250000
J9s,0.409947,0.111111,0.478942
QTo,0.505846,0.300838,0.193316
J8o,0.512940,0.441746,0.045314
J5o,0.929745,0.070255,0.000000
J5s,0.000000,0.979377,0.020623
J4s,0.333333,0.333333,0.333333
J3o,0.129447,0.428479,0.442075
T6o,0.353537,0.273695,0.372768
98o,0.066667,0.866667,0.066667
J3s,0.333333,0.333333,0.333333
A8s,0.062139,0.277701,0.660159
J2o,0.704561,0.000000,0.295439
J7o,0.792268,0.207732,0.000000
95o,0.866667,0.066667,0.066667
92s,0.437323,0.518593,0.044084
98s,0.166667,0.666667,0.166667
J7s,0.458181,0.111111,0.430708
J2s,0.333333,0.333333,0.333333
T9o,0.774541,0.069048,0.156411
T9s,0.333333,0.333333,0.333333
T8o,0.124637,0.005952,0.869411
66,0.083333,0.833333,0.083333
T7s,0.593095,0.295794,0.111111
K9o,0.252973,0.532033,0.214994
T4s,0.333333,0.333333,0.333333
T8s,0.266901,0.266667,0.466432
T3o,0.258077,0.559283,0.182640
T5s,0.333333,0.333333,0.333333
A7s,0.000000,0.000000,1.000000
A5s,0.438520,0.481527,0.079953
44,0.796694,0.136639,0.066667
T3s,0.777778,0.111111,0.111111
75o,0.366545,0.179133,0.454321
T5o,0.159633,0.746307,0.094061
A2s,0.313979,0.238087,0.447934
Q8o,0.325981,0.335964,0.338055
T2o,0.417708,0.231034,0.351258
97o,0.740122,0.100000,0.159878
J6o,0.051282,0.897436,0.051282
96o,0.521658,0.065701,0.412641
53s,0.462902,0.059312,0.477786
76s,0.333333,0.333333,0.333333
94o,0.083333,0.542811,0.373856
K3s,0.228587,0.229282,0.542132
T2s,0.930426,0.000000,0.069574
93o,1.000000,0.000000,0.000000
85o,0.985133,0.014867,0.000000
86o,0.048077,0.000000,0.951923
Q5s,0.172520,0.491055,0.336425
96s,0.604939,0.195779,0.199282
A6o,0.840889,0.131333,0.027778
93s,0.333650,0.666350,0.000000
85s,0.000000,0.875000,0.125000
K4s,0.049869,0.543612,0.406519
84o,0.440329,0.264352,0.295319
TT,1.000000,0.000000,0.000000
87o,0.886916,0.113084,0.000000
84s,0.714536,0.229909,0.055556
62o,1.000000,0.000000,0.000000
Q9s,0.111111,0.470160,0.418729
53o,0.517977,0.131367,0.350656
74o,0.941164,0.058836,0.000000
83o,0.404307,0.238504,0.357189
82o,0.402322,0.366197,0.231480
82s,0.333333,0.333333,0.333333
K3o,0.054264,0.770572,0.175165
64s,0.931559,0.068441,0.000000
A5o,0.250000,0.500000,0.250000
86s,0.000000,0.000000,1.000000
76o,0.142375,0.681664,0.175961
94s,0.000000,0.240009,0.759991
75s,0.656290,0.343710,0.000000
74s,0.266667,0.391523,0.341810
32o,0.809524,0.095238,0.095238
Q4s,0.464598,0.535402,0.000000
J8s,0.333333,0.333333,0.333333
52s,1.000000,0.000000,0.000000
73s,0.267528,0.732472,0.000000
T6s,0.000000,0.186509,0.813491
92o,0.140403,0.859597,0.000000
73o,0.033333,0.172016,0.794651
43s,0.706052,0.293948,0.000000
ATs,0.168498,0.764835,0.066667
72s,0.333333,0.333333,0.333333
65s,0.000000,0.224658,0.775342
KK,0.000000,1.000000,0.000000
64o,0.644395,0.288185,0.067420
54o,0.083333,0.833333,0.083333
J6s,0.000000,0.000000,1.000000
KTo,0.205706,0.444855,0.349439
Q8s,0.333333,0.333333,0.333333
63s,0.000000,0.363285,0.636715
54s,0.166667,0.416667,0.416667
K2s,0.407091,0.271329,0.321580
65o,0.882284,0.117716,0.000000
52o,0.797464,0.000000,0.202536
42o,0.490889,0.478808,0.030303
T4o,0.501668,0.161160,0.337172
KTs,0.250000,0.333815,0.416185
42s,0.112251,0.063427,0.824322
95s,0.246358,0.000000,0.753642
72o,0.219726,0.771770,0.008503
J4o,0.888889,0.055556,0.055556
97s,0.000000,1.000000,0.000000
32s,0.464179,0.415635,0.120186
83s,0.333333,0.333333,0.333333
AA,0.111111,0.308582,0.580307
99,0.066667,0.740905,0.192428
KJo,0.441354,0.407131,0.151515
33,0.188710,0.227192,0.584099
22,1.000000,0.000000,0.000000
J9o,0.481173,0.073125,0.445702
88,0.333333,0.333333,0.333333
KQo,0.357315,0.187738,0.454947
K4o,0.512717,0.275162,0.212121
62s,0.200000,0.600000,0.200000
43o,1.000000,0.000000,0.000000
55,0.083333,0.233333,0.683333
87s,0.333333,0.333333,0.333333
QJo,0.061335,0.000000,0.938665
JJ,0.047619,0.764276,0.188105
AKs,0.111111,0.111111,0.777778
Q4o,0.890673,0.089659,0.019668
77,0.166667,0.494258,0.339076
63o,0.179002,0.267704,0.553294
T7o,0.000000,0.480208,0.519792
A6s,0.277778,0.444444,0.277778
QTs,0.333333,0.333333,0.333333
QQ,0.333333,0.333333,0.333333
